sample,gene,ct,well,method,tissue,cell
z7,inx1,28.6494,G9,zymo,neuron,SC
z7,inx2,31.6971,G7,zymo,neuron,SC
z7,inx2,29.7031,G8,zymo,neuron,SC
z7,inx2,29.2292,G9,zymo,neuron,SC
z7,shal,32.3781,G7,zymo,neuron,SC
z7,shal,31.2844,G8,zymo,neuron,SC
z7,shal,30.8441,G9,zymo,neuron,SC
z8,CbNaV,29.8445,H7,zymo,neuron,SC
z8,CbNaV,29.613,H8,zymo,neuron,SC
z8,CbNaV,29.9754,H9,zymo,neuron,SC
z8,IH,-1,H7,zymo,neuron,SC
z8,IH,35.3104,H8,zymo,neuron,SC
z8,IH,34.3468,H9,zymo,neuron,SC
z8,inx1,27.9588,H7,zymo,neuron,SC
z8,inx1,27.7462,H8,zymo,neuron,SC
z8,inx1,27.6566,H9,zymo,neuron,SC
z8,inx2,NA,H7,zymo,neuron,SC
z8,inx2,27.7362,H8,zymo,neuron,SC
z8,inx2,27.9182,H9,zymo,neuron,SC
z8,shal,35.5337,H7,zymo,neuron,SC
z8,shal,34.2698,H8,zymo,neuron,SC
z8,shal,32.8164,H9,zymo,neuron,SC
z9,CbNaV,32.5083,A10,zymo,neuron,SC
z9,CbNaV,32.2195,A11,zymo,neuron,SC
z9,CbNaV,NA,A12,zymo,neuron,SC
z9,IH,-1,A10,zymo,neuron,SC
z9,IH,-1,A11,zymo,neuron,SC
z9,IH,NA,A12,zymo,neuron,SC
z9,inx1,34.2724,A10,zymo,neuron,SC
z9,inx1,NA,A11,zymo,neuron,SC
z9,inx1,-1,A12,zymo,neuron,SC
z9,inx2,NA,A10,zymo,neuron,SC
z9,inx2,NA,A11,zymo,neuron,SC
z9,inx2,NA,A12,zymo,neuron,SC
z9,shal,-1,A10,zymo,neuron,SC
z9,shal,-1,A11,zymo,neuron,SC
z9,shal,-1,A12,zymo,neuron,SC
